Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,CBM,VBM
mp-2715777,Na3Nb2Zn4P3(SO6)6,Trigonal,P3c1,158,108,0.0257,-2.23117,FALSE,1507.98608,3.03416,2.3169,FALSE,FALSE,NM,0,2.5203,0.2034
mp-1181719,NaZn4H6SClO16,Triclinic,P-1,2,58,0,-1.37625,TRUE,772.77267,2.63952,0.4931,FALSE,FALSE,FM,11.99691,-0.2943,-0.7874
mp-1205165,NaZn4H6SClO16,Triclinic,P-1,2,58,0.07728,-1.29897,FALSE,773.46335,2.63716,0.0114,FALSE,FALSE,NM,0.00314,-0.9585,-0.9699
mp-1233082,K2MgZn4P4(HO8)2,Triclinic,P-1,2,29,0.16236,-2.22958,FALSE,425.27126,2.91303,0.8735,FALSE,FALSE,NM,0,3.7811,2.9076
mp-1234116,K2MgZn4P4(HO8)2,Triclinic,P-1,2,29,0.1758,-2.21614,FALSE,434.186,2.85322,0.9414,FALSE,FALSE,NM,0,3.6653,2.7239
mp-772852,Na3Zn4P4H4NO16,Orthorhombic,Pbcn,60,128,0.00707,-2.18265,FALSE,1535.63401,3.15114,4.0324,TRUE,FALSE,NM,0.00169,4.4212,0.3888
mp-2713304,Na6Ta2Zn4P6(SO12)3,Monoclinic,Cc,9,114,0.06159,-2.45313,FALSE,1521.63922,3.53464,2.978,TRUE,FALSE,NM,0,3.9014,0.9234
mp-2713537,Na6Nb2Zn4P6(SO12)3,Monoclinic,Cc,9,114,0.06034,-2.41065,FALSE,1537.4204,3.11799,2.1612,TRUE,FALSE,NM,0,2.9464,0.7852
mp-2714365,Na12Nb2Zn4Si6(SO12)3,Monoclinic,Cc,9,126,0.12068,-2.44095,FALSE,1634.96312,3.17696,1.7862,TRUE,FALSE,NM,0,3.5595,1.7733
mp-2714447,Na12Ta2Zn4Si6(SO12)3,Monoclinic,Cc,9,126,0.1193,-2.47696,FALSE,1622.73922,3.56126,2.5225,TRUE,FALSE,NM,0,4.4493,1.9268
mp-580931,MgZn5,Monoclinic,C2/m,12,24,0.03014,-0.03718,FALSE,392.27643,5.94918,0,FALSE,TRUE,NM,0.0031,,
mp-1215488,Zn5Pd3,Tetragonal,P4/mmm,123,8,0.04715,-0.42507,FALSE,112.16332,9.56832,0,FALSE,TRUE,NM,0,,
mp-30883,V4Zn5,Tetragonal,I4/mmm,139,9,0,-0.07321,TRUE,122.66179,7.18588,0,FALSE,TRUE,NM,0.00021,,
mp-1094194,MgZn5,Trigonal,R32,155,6,0.04762,-0.0197,FALSE,91.04086,6.40845,0,FALSE,TRUE,NM,0,,
mp-1094428,MgZn5,Hexagonal,P-6m2,187,6,0.10684,0.03952,FALSE,97.3948,5.99037,0,FALSE,TRUE,NM,0.00103,,
mp-1094462,MgZn5,Hexagonal,P-62m,189,6,0.04847,-0.01885,FALSE,90.40203,6.45373,0,FALSE,TRUE,NM,0,,
mp-12602,PrZn5,Hexagonal,P6/mmm,191,6,0.0078,-0.30252,FALSE,104.66402,7.42427,0,FALSE,TRUE,NM,0,,
mp-1734,CaZn5,Hexagonal,P6/mmm,191,6,0,-0.22794,TRUE,102.30737,5.95873,0,FALSE,TRUE,NM,0,,
mp-2424,LaZn5,Hexagonal,P6/mmm,191,6,0.00325,-0.34076,FALSE,107.21414,7.21667,0,FALSE,TRUE,NM,0.00024,,
mp-2436,EuZn5,Hexagonal,P6/mmm,191,6,0,-0.25088,TRUE,105.65996,7.52805,0,FALSE,TRUE,FM,7.10599,,
mp-30627,DyZn5,Hexagonal,P6/mmm,191,6,0,-0.33202,TRUE,98.87511,8.22157,0,FALSE,TRUE,NM,0,,
mp-30801,NdZn5,Hexagonal,P6/mmm,191,6,0.00275,-0.30546,FALSE,103.70361,7.54642,0,FALSE,TRUE,NM,0,,
mp-30885,YZn5,Hexagonal,P6/mmm,191,6,0,-0.33284,TRUE,99.4324,6.94645,0,FALSE,TRUE,NM,0,,
mp-394,CeZn5,Hexagonal,P6/mmm,191,6,0.00978,-0.26003,FALSE,104.08258,7.45311,0,FALSE,TRUE,FM,1.02131,,
mp-567406,SmZn5,Hexagonal,P6/mmm,191,6,0.00616,-0.30227,FALSE,101.7148,7.79385,0,FALSE,TRUE,NM,0,,
mp-569927,ErZn5,Hexagonal,P6/mmm,191,6,0.00242,-0.31469,FALSE,97.80473,8.39235,0,FALSE,TRUE,NM,0,,
mp-638,SrZn5,Hexagonal,P6/mmm,191,6,0.02468,-0.22022,FALSE,109.44311,6.29156,0,FALSE,TRUE,NM,0,,
mp-1199856,TmZn5,Hexagonal,P6_3/mmc,194,36,0.01022,-0.30316,FALSE,587.29352,8.41412,0,FALSE,TRUE,NM,0,3.0607,3.0831
mp-1199967,LuZn5,Hexagonal,P6_3/mmc,194,36,0.01121,-0.28707,FALSE,582.2602,8.59008,0,FALSE,TRUE,NM,0,3.0565,3.0797
mp-1202791,YZn5,Hexagonal,P6_3/mmc,194,36,0.01324,-0.31961,FALSE,601.11146,6.89426,0,FALSE,TRUE,NM,0,3.1234,3.1545
