feature,random_forest_importance
Chemokine_signaling,0.13217213114754098
Oxidative_stress,0.12704918032786885
IL17_signaling,0.1260245901639344
TLR_NFKB,0.125
Cytokine_receptor,0.11885245901639344
TNF_signaling,0.11168032786885246
Core_targets,0.10245901639344263
JAK_STAT_IFN,0.09528688524590163
Mito_metabolism,0.045081967213114756
Complement,0.01639344262295082
